
 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.88543E-02   5.48259E+04  -2.07841E+04
   9.99999E-03   4.90680E+04  -2.06791E+04

 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.85063E-02   5.47580E+04  -2.07821E+04
   2.85053E-02   5.47578E+04  -2.07821E+04
   2.85043E-02   5.47577E+04  -2.07821E+04
   2.85033E-02   5.47575E+04  -2.07821E+04
   2.85023E-02   5.47573E+04  -2.07821E+04
   2.85013E-02   5.47571E+04  -2.07820E+04
   2.85003E-02   5.47569E+04  -2.07820E+04
   2.84993E-02   5.47567E+04  -2.07820E+04
   2.84983E-02   5.47565E+04  -2.07820E+04
   2.84973E-02   5.47563E+04  -2.07820E+04
   2.84963E-02   5.47561E+04  -2.07820E+04
   2.84953E-02   5.47559E+04  -2.07820E+04
   2.84943E-02   5.47557E+04  -2.07820E+04
   2.84933E-02   5.47555E+04  -2.07820E+04
   2.84923E-02   5.47553E+04  -2.07820E+04
   2.84913E-02   5.47551E+04  -2.07820E+04
   2.84903E-02   5.47549E+04  -2.07820E+04
   2.84893E-02   5.47547E+04  -2.07820E+04
   2.84883E-02   5.47545E+04  -2.07820E+04
   2.84873E-02   5.47543E+04  -2.07820E+04
   2.84863E-02   5.47541E+04  -2.07820E+04
   2.84853E-02   5.47539E+04  -2.07820E+04
   2.84843E-02   5.47537E+04  -2.07819E+04
   2.84833E-02   5.47535E+04  -2.07819E+04
   2.84823E-02   5.47533E+04  -2.07819E+04
   2.84813E-02   5.47531E+04  -2.07819E+04
   2.84803E-02   5.47529E+04  -2.07819E+04
   2.84793E-02   5.47527E+04  -2.07819E+04
   2.84783E-02   5.47526E+04  -2.07819E+04
   2.84773E-02   5.47524E+04  -2.07819E+04
   2.84763E-02   5.47522E+04  -2.07819E+04
   2.84753E-02   5.47520E+04  -2.07819E+04
   2.84743E-02   5.47518E+04  -2.07819E+04
   2.84733E-02   5.47516E+04  -2.07819E+04
   2.84723E-02   5.47514E+04  -2.07819E+04
   2.84713E-02   5.47512E+04  -2.07819E+04
   2.84703E-02   5.47510E+04  -2.07819E+04
   2.84693E-02   5.47508E+04  -2.07819E+04
   2.84683E-02   5.47506E+04  -2.07819E+04
   2.84673E-02   5.47504E+04  -2.07819E+04
   2.84663E-02   5.47502E+04  -2.07818E+04
   2.84653E-02   5.47500E+04  -2.07818E+04
   2.84643E-02   5.47498E+04  -2.07818E+04
   2.84633E-02   5.47496E+04  -2.07818E+04
   2.84623E-02   5.47494E+04  -2.07818E+04
   2.84613E-02   5.47492E+04  -2.07818E+04
   2.84603E-02   5.47490E+04  -2.07818E+04
   2.84593E-02   5.47488E+04  -2.07818E+04
   2.84583E-02   5.47486E+04  -2.07818E+04
   2.84573E-02   5.47484E+04  -2.07818E+04
   2.84563E-02   5.47482E+04  -2.07818E+04
   2.84553E-02   5.47480E+04  -2.07818E+04
   2.84543E-02   5.47478E+04  -2.07818E+04
   2.84533E-02   5.47476E+04  -2.07818E+04
   2.84523E-02   5.47474E+04  -2.07818E+04
   2.84513E-02   5.47472E+04  -2.07818E+04
   2.84503E-02   5.47471E+04  -2.07818E+04
   2.84493E-02   5.47469E+04  -2.07817E+04
   2.84483E-02   5.47467E+04  -2.07817E+04
   2.84473E-02   5.47465E+04  -2.07817E+04
   2.84463E-02   5.47463E+04  -2.07817E+04
   2.84453E-02   5.47461E+04  -2.07817E+04
   2.84443E-02   5.47459E+04  -2.07817E+04
   2.84433E-02   5.47457E+04  -2.07817E+04
   2.84423E-02   5.47455E+04  -2.07817E+04
   2.84413E-02   5.47453E+04  -2.07817E+04
   2.84403E-02   5.47451E+04  -2.07817E+04
   2.84393E-02   5.47449E+04  -2.07817E+04
   2.84383E-02   5.47447E+04  -2.07817E+04
   2.84373E-02   5.47445E+04  -2.07817E+04
   2.84363E-02   5.47443E+04  -2.07817E+04
   2.84353E-02   5.47441E+04  -2.07817E+04
   2.84343E-02   5.47439E+04  -2.07817E+04
   2.84333E-02   5.47437E+04  -2.07817E+04
   2.84323E-02   5.47435E+04  -2.07817E+04
   2.84313E-02   5.47433E+04  -2.07816E+04
   2.84303E-02   5.47431E+04  -2.07816E+04
   2.84293E-02   5.47429E+04  -2.07816E+04
   2.84283E-02   5.47427E+04  -2.07816E+04
   2.84273E-02   5.47425E+04  -2.07816E+04
   2.84263E-02   5.47423E+04  -2.07816E+04
   2.84253E-02   5.47421E+04  -2.07816E+04
   2.84243E-02   5.47419E+04  -2.07816E+04
